playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2543603","null","Jeremy Hill","RB","CIN","RB","CIN","null","7.5116","null","null","null","35","null","null","0.2417","null","null","null","8.3005","5.8","4.0075","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","null","7.5101","null","null","null","18","null","null","0.0781","null","null","null","7.895","6.7931","5.4051","null",
"2539311","null","Jamie Collins","LB","NE","LB","NE","null","7.5","null","null","null","16","null","null","0.1111","null","null","null","7.5","7.5","null","null",
"2540258","null","Travis Kelce","TE","KC","TE","KC","null","7.4952","null","null","null","6","null","null","0.6871","null","null","null","9.1509","5.36","3.2897","null",
"2543614","null","Donte Moncrief","WR","IND","WR","IND","null","7.4742","null","null","null","39","null","null","0.2375","null","null","null","8.2824","4.5","4.4042","null",
"2507232","null","Mason Crosby","K","GB","K","GB","null","7.4723","null","null","null","19","null","null","0.124","null","null","null","9.23","2","6.2597","null",
"2543486","null","Ryan Shazier","LB","PIT","LB","PIT","null","7.4151","null","null","null","17","null","null","0.1549","null","null","null","7.4955","7.25","null","null",
"2503471","null","Adam Vinatieri","K","IND","K","IND","null","7.3917","null","null","null","20","null","null","0.0876","null","null","null","7.834","6.5076","5.2068","null",
"2495473","null","Shane Vereen","RB","NYG","RB","NYG","null","7.3672","null","null","null","36","null","null","0.3399","null","null","null","8.379","4.6","4.0095","null",
"71365","null","DeAndre Levy","LB","DET","LB","DET","null","7.3627","null","null","null","18","null","null","0.2413","null","null","null","7.5637","6.95","null","null",
"2540180","null","Tyrann Mathieu","DB","ARI","DB","ARI","null","7.3602","null","null","null","4","null","null","0.4655","null","null","null","7.6819","6.7","null","null",
"100011","null","Packers","DST","GB","DST","GB","null","7.3581","null","null","null","16","null","null","0.3327","null","null","null","11.3078","6.15","5.5429","null",
"2543533","null","Patrick Murray","K","CLE","K","CLE","null","7.3048","null","null","null","21","null","null","0.0509","null","null","null","9.4028","5.5","4.028","null",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","null","7.3036","null","null","null","22","null","null","0.2422","null","null","null","7.6198","6.8762","4.7155","null",
"2552430","null","Tyler Lockett","WR","SEA","WR","SEA","null","7.2405","null","null","null","40","null","null","0.0421","null","null","null","8.2823","6.0813","3.6409","null",
"2555317","null","Tajae Sharpe","WR","TEN","WR","TEN","null","7.2329","null","null","null","41","null","null","0.2279","null","null","null","8.5285","3.9","3.6409","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","7.2041","null","null","null","23","null","null","0.4964","null","null","null","9.0212","5.788","5.8331","null",
"2552461","null","Duke Johnson","RB","CLE","RB","CLE","null","7.1725","null","null","null","37","null","null","0.373","null","null","null","8.3329","4.2","7.5918","null",
"2555333","null","Corey Coleman","WR","CLE","WR","CLE","null","7.1638","null","null","null","42","null","null","0.403","null","null","null","7.9181","4.7","6.45","null",
"2552312","null","Eric Kendricks","LB","MIN","LB","MIN","null","7.1576","null","null","null","19","null","null","0.1025","null","null","null","7.3319","6.8","null","null",
